time,sensortype,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy,nis
1477010443000000,LASER,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000,0.000
1477010443050000,RADAR,0.860,0.600,5.200,0.002,0.714,0.589,7.069,-0.000,0.228,0.016,3.907,0.001,74.467
1477010443100000,LASER,1.120,0.600,5.199,0.005,1.161,0.493,7.054,-0.486,0.188,0.063,3.365,0.284,0.185
1477010443150000,RADAR,1.380,0.601,5.199,0.011,1.277,0.514,6.936,1.350,0.171,0.070,3.041,0.714,1.810
1477010443200000,LASER,1.640,0.601,5.198,0.018,1.613,0.595,6.873,1.720,0.153,0.062,2.821,0.993,0.202
1477010443250000,RADAR,1.900,0.602,5.198,0.027,1.821,0.570,6.317,0.593,0.143,0.059,2.616,0.936,4.259
1477010443300000,LASER,2.160,0.604,5.197,0.038,2.153,0.616,6.322,0.687,0.133,0.054,2.459,0.900,0.160
1477010443350000,RADAR,2.420,0.606,5.196,0.050,2.369,0.643,5.587,0.494,0.125,0.053,2.304,0.857,7.989
1477010443400000,LASER,2.679,0.609,5.195,0.065,2.649,0.666,5.595,0.430,0.119,0.053,2.176,0.817,0.003
1477010443450000,RADAR,2.939,0.613,5.193,0.081,2.916,0.655,5.526,0.102,0.113,0.052,2.067,0.775,0.544
1477010443500000,LASER,3.199,0.617,5.191,0.099,3.151,0.653,5.485,0.016,0.109,0.051,1.973,0.739,1.107
1477010443550000,RADAR,3.458,0.623,5.190,0.118,3.439,0.545,5.448,-0.877,0.104,0.054,1.891,0.764,1.484
1477010443600000,LASER,3.718,0.629,5.188,0.140,3.744,0.430,5.356,-1.590,0.100,0.075,1.817,0.877,2.203
1477010443650000,RADAR,3.977,0.637,5.185,0.163,4.024,0.516,5.489,-0.802,0.097,0.080,1.753,0.883,4.082
1477010443700000,LASER,4.236,0.645,5.183,0.188,4.298,0.506,5.478,-0.772,0.095,0.085,1.695,0.889,0.350
1477010443750000,RADAR,4.495,0.655,5.180,0.214,4.559,0.540,5.435,-0.552,0.094,0.087,1.642,0.881,2.054
1477010443800000,LASER,4.754,0.667,5.176,0.243,4.748,0.647,5.310,0.015,0.091,0.085,1.594,0.857,12.775
1477010443850000,RADAR,5.013,0.680,5.173,0.273,5.002,0.644,5.265,-0.040,0.088,0.083,1.549,0.836,2.194
1477010443900000,LASER,5.272,0.694,5.169,0.304,5.304,0.641,5.311,-0.080,0.086,0.081,1.508,0.818,2.440
1477010443950000,RADAR,5.530,0.710,5.164,0.338,5.561,0.649,5.311,-0.051,0.084,0.080,1.470,0.802,1.623
1477010444000000,LASER,5.788,0.728,5.159,0.373,5.855,0.665,5.340,-0.010,0.084,0.080,1.435,0.788,1.573
1477010444050000,RADAR,6.046,0.748,5.154,0.410,6.101,0.590,5.301,-0.297,0.083,0.085,1.403,0.784,3.941
1477010444100000,LASER,6.304,0.769,5.148,0.448,6.358,0.704,5.283,0.095,0.082,0.084,1.372,0.770,4.094
1477010444150000,RADAR,6.561,0.793,5.142,0.488,6.611,0.734,5.258,0.163,0.081,0.083,1.343,0.757,0.952
1477010444200000,LASER,6.818,0.818,5.135,0.530,6.860,0.733,5.246,0.137,0.079,0.083,1.317,0.746,0.340
1477010444250000,RADAR,7.075,0.846,5.127,0.573,7.110,0.715,5.217,0.053,0.078,0.085,1.291,0.738,4.033
1477010444300000,LASER,7.331,0.875,5.119,0.618,7.335,0.799,5.172,0.272,0.077,0.085,1.267,0.728,3.719
1477010444350000,RADAR,7.587,0.907,5.109,0.665,7.620,0.810,5.207,0.270,0.076,0.086,1.244,0.718,3.400
1477010444400000,LASER,7.842,0.942,5.100,0.712,7.872,0.791,5.203,0.192,0.074,0.089,1.223,0.713,0.556
1477010444450000,RADAR,8.097,0.979,5.089,0.762,8.127,0.807,5.187,0.204,0.073,0.093,1.202,0.708,3.017
1477010444500000,LASER,8.351,1.018,5.078,0.813,8.367,0.826,5.169,0.228,0.072,0.097,1.183,0.704,0.744
1477010444550000,RADAR,8.605,1.060,5.065,0.865,8.629,0.908,5.171,0.396,0.071,0.100,1.164,0.698,6.551
1477010444600000,LASER,8.858,1.105,5.052,0.919,8.867,0.967,5.146,0.494,0.070,0.101,1.147,0.691,1.196
1477010444650000,RADAR,9.110,1.152,5.038,0.974,9.151,1.002,5.167,0.530,0.069,0.103,1.130,0.685,6.409
1477010444700000,LASER,9.362,1.202,5.023,1.031,9.389,1.037,5.147,0.565,0.069,0.105,1.114,0.680,0.919
