time,sensortype,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy,nis
1477010443000000,LASER,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000,0.000
1477010443100000,LASER,1.120,0.600,5.199,0.005,1.155,0.483,0.083,0.000,0.358,0.069,5.172,0.003,0.729
1477010443200000,LASER,1.640,0.601,5.198,0.018,1.450,0.553,0.987,0.009,0.307,0.078,4.983,0.007,4.823
1477010443300000,LASER,2.160,0.604,5.197,0.038,1.921,0.589,2.431,0.249,0.323,0.069,4.622,0.080,8.281
1477010443400000,LASER,2.679,0.609,5.195,0.065,2.482,0.646,3.208,0.432,0.336,0.062,4.231,0.156,4.508
1477010443500000,LASER,3.199,0.617,5.191,0.099,2.911,0.641,3.548,-0.126,0.345,0.058,3.905,0.189,1.443
1477010443600000,LASER,3.718,0.629,5.188,0.140,3.588,0.377,3.682,-2.215,0.354,0.088,3.645,0.679,10.246
1477010443700000,LASER,4.236,0.645,5.183,0.188,4.157,0.491,4.569,-0.174,0.345,0.113,3.419,0.886,4.178
1477010443800000,LASER,4.754,0.667,5.176,0.243,4.504,0.758,4.028,1.194,0.340,0.116,3.227,0.869,4.301
1477010443900000,LASER,5.272,0.694,5.169,0.304,5.164,0.724,4.805,0.636,0.343,0.111,3.065,0.852,10.709
1477010444000000,LASER,5.788,0.728,5.159,0.373,5.796,0.724,5.188,0.259,0.336,0.106,2.916,0.813,3.984
1477010444100000,LASER,6.304,0.769,5.148,0.448,6.314,0.880,5.168,0.899,0.325,0.104,2.787,0.783,0.671
1477010444200000,LASER,6.818,0.818,5.135,0.530,6.816,0.808,5.185,0.208,0.316,0.101,2.673,0.759,1.141
1477010444300000,LASER,7.331,0.875,5.119,0.618,7.260,0.910,5.066,0.522,0.308,0.098,2.572,0.734,1.310
1477010444400000,LASER,7.842,0.942,5.100,0.712,7.780,0.820,5.095,-0.035,0.304,0.097,2.482,0.722,1.140
1477010444500000,LASER,8.351,1.018,5.078,0.813,8.274,0.828,5.080,-0.062,0.299,0.104,2.401,0.730,0.060
1477010444600000,LASER,8.858,1.105,5.052,0.919,8.770,0.940,5.068,0.271,0.296,0.112,2.327,0.734,1.149
1477010444700000,LASER,9.362,1.202,5.023,1.031,9.269,1.008,5.057,0.384,0.294,0.119,2.259,0.731,0.163
1477010444800000,LASER,9.863,1.311,4.989,1.148,9.840,1.236,5.074,0.943,0.291,0.123,2.197,0.721,6.287
1477010444900000,LASER,10.360,1.432,4.951,1.270,10.319,1.393,5.003,1.173,0.287,0.122,2.140,0.704,0.669
1477010445000000,LASER,10.853,1.565,4.908,1.397,10.799,1.490,4.975,1.197,0.284,0.121,2.088,0.688,0.360
1477010445100000,LASER,11.342,1.712,4.859,1.528,11.360,1.604,5.028,1.246,0.281,0.121,2.039,0.674,2.949
1477010445200000,LASER,11.825,1.871,4.805,1.664,11.843,1.741,4.986,1.343,0.276,0.123,1.993,0.663,0.237
1477010445300000,LASER,12.303,2.045,4.745,1.803,12.340,1.843,4.980,1.341,0.273,0.128,1.951,0.654,0.262
1477010445400000,LASER,12.774,2.232,4.678,1.945,12.778,2.062,4.871,1.591,0.268,0.135,1.911,0.647,2.993
1477010445500000,LASER,13.239,2.434,4.605,2.090,13.221,2.298,4.766,1.826,0.265,0.139,1.874,0.638,1.926
1477010445600000,LASER,13.696,2.651,4.524,2.237,13.716,2.526,4.726,2.000,0.262,0.141,1.839,0.629,1.365
1477010445700000,LASER,14.144,2.882,4.437,2.386,14.180,2.800,4.637,2.231,0.259,0.143,1.805,0.619,1.363
1477010445800000,LASER,14.583,3.128,4.341,2.536,14.613,2.999,4.571,2.296,0.256,0.144,1.774,0.610,1.696
1477010445900000,LASER,15.012,3.389,4.237,2.687,15.044,3.321,4.440,2.560,0.252,0.145,1.744,0.601,2.283
1477010446000000,LASER,15.431,3.666,4.126,2.838,15.477,3.655,4.315,2.800,0.249,0.145,1.716,0.592,1.996
1477010446100000,LASER,15.837,3.957,4.006,2.988,15.914,3.954,4.234,2.943,0.246,0.144,1.689,0.582,0.333
1477010446200000,LASER,16.232,4.264,3.877,3.137,16.320,4.309,4.094,3.156,0.243,0.143,1.663,0.573,1.156
1477010446300000,LASER,16.613,4.585,3.740,3.284,16.697,4.651,3.947,3.321,0.240,0.142,1.639,0.565,0.538
1477010446400000,LASER,16.980,4.921,3.594,3.429,17.051,5.056,3.746,3.556,0.237,0.142,1.615,0.557,1.756
1477010446500000,LASER,17.332,5.271,3.440,3.570,17.390,5.432,3.573,3.715,0.234,0.141,1.593,0.549,0.583
1477010446600000,LASER,17.668,5.635,3.276,3.708,17.765,5.759,3.507,3.762,0.232,0.140,1.571,0.542,1.144
1477010446700000,LASER,17.987,6.013,3.105,3.840,18.110,6.147,3.375,3.886,0.229,0.139,1.551,0.535,0.042
1477010446800000,LASER,18.289,6.403,2.924,3.968,18.380,6.588,3.121,4.082,0.226,0.139,1.531,0.528,2.024
1477010446900000,LASER,18.572,6.806,2.736,4.089,18.670,6.957,2.982,4.144,0.224,0.138,1.512,0.521,2.920
1477010447000000,LASER,18.836,7.221,2.539,4.203,19.021,7.318,2.958,4.156,0.222,0.137,1.495,0.515,2.158
1477010447100000,LASER,19.080,7.647,2.335,4.310,19.226,7.791,2.657,4.344,0.220,0.137,1.478,0.509,3.242
1477010447200000,LASER,19.303,8.083,2.123,4.408,19.403,8.236,2.366,4.469,0.218,0.137,1.462,0.503,4.712
1477010447300000,LASER,19.504,8.529,1.904,4.498,19.586,8.631,2.156,4.510,0.215,0.136,1.446,0.497,8.472
1477010447400000,LASER,19.683,8.983,1.678,4.578,19.863,9.031,2.121,4.518,0.214,0.135,1.431,0.491,2.543
1477010447500000,LASER,19.840,9.445,1.447,4.649,20.093,9.475,2.004,4.574,0.213,0.135,1.417,0.486,0.279
1477010447600000,LASER,19.973,9.913,1.210,4.708,20.252,9.939,1.782,4.654,0.214,0.135,1.405,0.481,0.572
1477010447700000,LASER,20.082,10.386,0.968,4.757,20.346,10.435,1.466,4.757,0.215,0.135,1.393,0.476,2.136
1477010447800000,LASER,20.166,10.864,0.722,4.793,20.445,10.937,1.197,4.838,0.215,0.135,1.381,0.471,0.690
1477010447900000,LASER,20.226,11.345,0.473,4.818,20.490,11.423,0.881,4.887,0.216,0.135,1.368,0.466,2.093
1477010448000000,LASER,20.261,11.828,0.220,4.830,20.580,11.916,0.688,4.923,0.218,0.135,1.357,0.462,0.104
1477010448100000,LASER,20.270,12.311,-0.034,4.830,20.541,12.437,0.287,4.965,0.219,0.135,1.345,0.458,3.212
1477010448200000,LASER,20.254,12.793,-0.289,4.816,20.542,12.929,0.025,4.967,0.221,0.135,1.333,0.454,0.182
1477010448300000,LASER,20.212,13.274,-0.545,4.789,20.436,13.394,-0.379,4.916,0.222,0.135,1.322,0.450,6.188
1477010448400000,LASER,20.145,13.751,-0.801,4.749,20.366,13.886,-0.663,4.886,0.222,0.135,1.310,0.446,0.114
1477010448500000,LASER,20.052,14.223,-1.055,4.695,20.237,14.368,-1.007,4.823,0.222,0.135,1.298,0.442,0.898
1477010448600000,LASER,19.934,14.690,-1.307,4.628,20.017,14.834,-1.453,4.701,0.222,0.134,1.287,0.439,3.800
1477010448700000,LASER,19.791,15.149,-1.556,4.548,19.907,15.288,-1.632,4.627,0.220,0.134,1.276,0.435,1.166
1477010448800000,LASER,19.623,15.599,-1.801,4.454,19.782,15.721,-1.798,4.536,0.220,0.134,1.265,0.432,2.484
1477010448900000,LASER,19.431,16.039,-2.041,4.347,19.550,16.140,-2.112,4.382,0.219,0.133,1.254,0.428,1.307
1477010449000000,LASER,19.215,16.468,-2.276,4.227,19.288,16.520,-2.423,4.183,0.219,0.132,1.244,0.425,3.509
1477010449100000,LASER,18.976,16.884,-2.504,4.095,19.020,16.914,-2.686,4.009,0.217,0.132,1.234,0.421,0.331
1477010449200000,LASER,18.714,17.287,-2.725,3.951,18.709,17.312,-2.964,3.827,0.216,0.132,1.224,0.418,0.770
1477010449300000,LASER,18.431,17.674,-2.939,3.796,18.312,17.643,-3.329,3.521,0.215,0.132,1.215,0.416,3.318
1477010449400000,LASER,18.127,18.045,-3.143,3.629,18.036,18.012,-3.442,3.395,0.214,0.132,1.206,0.413,1.953
1477010449500000,LASER,17.803,18.399,-3.338,3.452,17.729,18.333,-3.579,3.207,0.212,0.133,1.197,0.411,2.311
1477010449600000,LASER,17.459,18.735,-3.524,3.265,17.372,18.657,-3.747,3.016,0.211,0.133,1.188,0.408,0.142
1477010449700000,LASER,17.098,19.052,-3.699,3.069,17.029,18.948,-3.868,2.822,0.210,0.134,1.180,0.406,1.394
1477010449800000,LASER,16.720,19.349,-3.863,2.865,16.607,19.176,-4.068,2.511,0.208,0.136,1.171,0.405,1.013
1477010449900000,LASER,16.326,19.625,-4.015,2.652,16.218,19.466,-4.172,2.357,0.207,0.138,1.163,0.403,1.389
1477010450000000,LASER,15.918,19.879,-4.156,2.433,15.836,19.743,-4.243,2.225,0.206,0.140,1.154,0.401,1.533
1477010450100000,LASER,15.496,20.111,-4.285,2.208,15.429,20.014,-4.320,2.097,0.205,0.141,1.146,0.398,1.741
1477010450200000,LASER,15.061,20.320,-4.401,1.978,15.049,20.286,-4.346,2.020,0.204,0.141,1.138,0.395,2.959
1477010450300000,LASER,14.616,20.506,-4.504,1.743,14.630,20.516,-4.411,1.877,0.203,0.140,1.131,0.393,0.637
1477010450400000,LASER,14.161,20.669,-4.595,1.504,14.154,20.656,-4.535,1.584,0.203,0.139,1.123,0.391,0.887
1477010450500000,LASER,13.698,20.807,-4.674,1.263,13.650,20.767,-4.657,1.269,0.202,0.139,1.116,0.389,1.989
1477010450600000,LASER,13.227,20.921,-4.739,1.020,13.166,20.863,-4.732,0.985,0.202,0.138,1.108,0.386,0.273
1477010450700000,LASER,12.751,21.011,-4.792,0.775,12.727,20.990,-4.744,0.828,0.201,0.138,1.101,0.384,1.517
1477010450800000,LASER,12.269,21.076,-4.832,0.531,12.246,21.073,-4.784,0.606,0.200,0.137,1.094,0.382,0.162
1477010450900000,LASER,11.785,21.117,-4.860,0.287,11.743,21.042,-4.822,0.211,0.200,0.136,1.087,0.380,2.251
1477010451000000,LASER,11.298,21.134,-4.876,0.044,11.278,21.059,-4.815,-0.024,0.199,0.135,1.081,0.377,0.396
1477010451100000,LASER,10.810,21.126,-4.881,-0.197,10.808,21.011,-4.790,-0.336,0.199,0.135,1.074,0.375,0.775
1477010451200000,LASER,10.323,21.094,-4.873,-0.435,10.313,21.037,-4.798,-0.464,0.199,0.135,1.068,0.373,2.656
1477010451300000,LASER,9.837,21.039,-4.856,-0.669,9.859,20.980,-4.749,-0.703,0.198,0.134,1.061,0.371,0.981
1477010451400000,LASER,9.353,20.961,-4.827,-0.900,9.410,20.891,-4.686,-0.955,0.198,0.133,1.055,0.369,0.889
1477010451500000,LASER,8.872,20.859,-4.789,-1.126,8.908,20.797,-4.666,-1.173,0.198,0.132,1.049,0.367,2.234
1477010451600000,LASER,8.396,20.736,-4.741,-1.347,8.414,20.616,-4.602,-1.505,0.198,0.132,1.043,0.365,2.968
1477010451700000,LASER,7.924,20.590,-4.685,-1.562,7.948,20.454,-4.526,-1.743,0.198,0.132,1.037,0.363,0.199
1477010451800000,LASER,7.459,20.424,-4.620,-1.772,7.446,20.316,-4.504,-1.888,0.198,0.131,1.031,0.361,4.191
1477010451900000,LASER,7.001,20.236,-4.547,-1.975,6.968,20.144,-4.450,-2.057,0.197,0.131,1.025,0.359,1.385
1477010452000000,LASER,6.551,20.029,-4.468,-2.171,6.502,19.960,-4.389,-2.211,0.197,0.130,1.020,0.357,0.902
1477010452100000,LASER,6.108,19.803,-4.382,-2.360,6.028,19.769,-4.344,-2.337,0.196,0.129,1.014,0.355,1.817
1477010452200000,LASER,5.675,19.558,-4.291,-2.542,5.613,19.535,-4.226,-2.519,0.196,0.129,1.009,0.353,0.406
1477010452300000,LASER,5.251,19.295,-4.195,-2.716,5.182,19.323,-4.154,-2.624,0.195,0.129,1.003,0.352,0.874
1477010452400000,LASER,4.836,19.015,-4.094,-2.883,4.799,19.024,-3.991,-2.852,0.194,0.128,0.998,0.350,0.624
1477010452500000,LASER,4.432,18.719,-3.990,-3.042,4.411,18.755,-3.870,-2.992,0.194,0.128,0.993,0.348,0.522
1477010452600000,LASER,4.039,18.407,-3.883,-3.194,4.073,18.440,-3.680,-3.183,0.193,0.128,0.988,0.347,2.010
1477010452700000,LASER,3.656,18.081,-3.773,-3.337,3.659,18.146,-3.621,-3.282,0.193,0.129,0.983,0.345,2.300
1477010452800000,LASER,3.284,17.740,-3.662,-3.473,3.272,17.809,-3.514,-3.427,0.192,0.129,0.978,0.343,1.329
1477010452900000,LASER,2.924,17.387,-3.550,-3.602,2.904,17.546,-3.456,-3.442,0.192,0.130,0.973,0.342,4.291
1477010453000000,LASER,2.575,17.021,-3.437,-3.723,2.572,17.170,-3.292,-3.613,0.191,0.132,0.968,0.341,0.424
1477010453100000,LASER,2.237,16.643,-3.324,-3.836,2.249,16.809,-3.151,-3.733,0.190,0.134,0.964,0.339,0.034
1477010453200000,LASER,1.910,16.254,-3.212,-3.942,1.956,16.359,-2.929,-3.952,0.190,0.136,0.959,0.338,3.806
1477010453300000,LASER,1.595,15.855,-3.101,-4.041,1.609,16.004,-2.883,-3.993,0.189,0.137,0.955,0.336,2.064
1477010453400000,LASER,1.290,15.446,-2.992,-4.134,1.307,15.574,-2.738,-4.127,0.189,0.139,0.950,0.334,1.901
1477010453500000,LASER,0.996,15.029,-2.885,-4.219,0.975,15.149,-2.672,-4.215,0.188,0.141,0.946,0.333,4.516
1477010453600000,LASER,0.713,14.603,-2.781,-4.299,0.723,14.718,-2.499,-4.320,0.188,0.142,0.942,0.331,0.024
1477010453700000,LASER,0.440,14.170,-2.679,-4.372,0.428,14.283,-2.420,-4.392,0.187,0.143,0.938,0.330,2.052
1477010453800000,LASER,0.178,13.729,-2.581,-4.439,0.276,13.789,-2.097,-4.555,0.186,0.144,0.934,0.328,2.862
1477010453900000,LASER,-0.076,13.282,-2.487,-4.501,0.007,13.340,-2.037,-4.604,0.186,0.145,0.931,0.327,2.441
1477010454000000,LASER,-0.320,12.830,-2.397,-4.557,-0.127,12.871,-1.759,-4.697,0.186,0.146,0.928,0.326,1.946
1477010454100000,LASER,-0.555,12.371,-2.312,-4.608,-0.343,12.404,-1.662,-4.746,0.187,0.146,0.926,0.324,1.149
1477010454200000,LASER,-0.782,11.908,-2.231,-4.655,-0.530,11.952,-1.550,-4.775,0.189,0.147,0.924,0.323,0.625
1477010454300000,LASER,-1.002,11.441,-2.156,-4.696,-0.815,11.488,-1.629,-4.780,0.190,0.147,0.921,0.322,8.154
1477010454400000,LASER,-1.214,10.969,-2.086,-4.734,-1.095,11.038,-1.713,-4.764,0.190,0.148,0.918,0.321,5.593
1477010454500000,LASER,-1.419,10.495,-2.021,-4.767,-1.322,10.549,-1.691,-4.799,0.190,0.149,0.915,0.319,2.648
1477010454600000,LASER,-1.618,10.016,-1.962,-4.796,-1.533,10.104,-1.672,-4.789,0.190,0.149,0.911,0.318,1.514
1477010454700000,LASER,-1.811,9.536,-1.909,-4.822,-1.711,9.641,-1.599,-4.805,0.189,0.150,0.908,0.316,0.327
1477010454800000,LASER,-2.000,9.052,-1.862,-4.844,-1.867,9.097,-1.472,-4.896,0.189,0.151,0.904,0.315,5.880
1477010454900000,LASER,-2.184,8.567,-1.822,-4.862,-2.055,8.604,-1.446,-4.918,0.189,0.152,0.901,0.314,1.092
1477010455000000,LASER,-2.365,8.080,-1.787,-4.878,-2.204,8.119,-1.363,-4.937,0.189,0.152,0.898,0.313,0.080
1477010455100000,LASER,-2.542,7.592,-1.759,-4.890,-2.413,7.634,-1.405,-4.936,0.189,0.153,0.895,0.311,2.171
1477010455200000,LASER,-2.717,7.102,-1.738,-4.899,-2.621,7.138,-1.448,-4.941,0.189,0.153,0.892,0.310,2.225
1477010455300000,LASER,-2.890,6.612,-1.723,-4.906,-2.767,6.680,-1.394,-4.928,0.189,0.154,0.889,0.309,1.900
1477010455400000,LASER,-3.061,6.121,-1.715,-4.909,-2.905,6.194,-1.326,-4.942,0.189,0.155,0.886,0.308,0.069
1477010455500000,LASER,-3.233,5.630,-1.713,-4.910,-3.070,5.678,-1.313,-4.971,0.189,0.155,0.883,0.306,1.789
1477010455600000,LASER,-3.404,5.140,-1.718,-4.907,-3.265,5.178,-1.368,-4.972,0.189,0.156,0.880,0.305,1.953
1477010455700000,LASER,-3.577,4.649,-1.729,-4.902,-3.482,4.667,-1.460,-4.975,0.189,0.156,0.877,0.304,3.812
1477010455800000,LASER,-3.750,4.159,-1.747,-4.894,-3.735,4.166,-1.616,-4.954,0.188,0.156,0.874,0.303,5.122
1477010455900000,LASER,-3.926,3.670,-1.772,-4.883,-3.895,3.683,-1.593,-4.951,0.188,0.157,0.870,0.302,0.256
1477010456000000,LASER,-4.105,3.182,-1.803,-4.869,-4.084,3.198,-1.629,-4.939,0.187,0.157,0.867,0.301,0.324
1477010456100000,LASER,-4.287,2.696,-1.841,-4.852,-4.262,2.683,-1.634,-4.959,0.187,0.157,0.864,0.300,1.122
1477010456200000,LASER,-4.474,2.212,-1.884,-4.831,-4.477,2.180,-1.710,-4.952,0.186,0.157,0.861,0.299,1.496
