time,sensortype,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy,nis
1477010443050000,RADAR,0.860,0.600,5.200,0.002,0.863,0.534,4.893,0.000,0.424,0.427,3.683,0.001,0.000
1477010443150000,RADAR,1.380,0.601,5.199,0.011,1.106,0.365,4.705,2.125,0.354,0.326,2.621,1.057,1.897
1477010443250000,RADAR,1.900,0.602,5.198,0.027,1.586,0.426,5.523,1.019,0.384,0.292,2.153,1.284,0.631
1477010443350000,RADAR,2.420,0.606,5.196,0.050,2.000,0.558,5.416,1.852,0.417,0.261,1.870,1.327,0.128
1477010443450000,RADAR,2.939,0.613,5.193,0.081,2.675,0.617,5.518,0.444,0.438,0.234,1.677,1.320,1.582
1477010443550000,RADAR,3.458,0.623,5.190,0.118,3.305,0.516,5.413,-0.673,0.430,0.216,1.535,1.230,2.364
1477010443650000,RADAR,3.977,0.637,5.185,0.163,3.920,0.586,5.471,-0.039,0.413,0.202,1.425,1.161,2.343
1477010443750000,RADAR,4.495,0.655,5.180,0.214,4.472,0.632,5.391,0.210,0.395,0.190,1.336,1.087,0.851
1477010443850000,RADAR,5.013,0.680,5.173,0.273,5.008,0.648,5.303,0.200,0.378,0.180,1.261,1.025,2.340
1477010443950000,RADAR,5.530,0.710,5.164,0.338,5.499,0.671,5.316,0.293,0.364,0.171,1.197,0.973,1.301
1477010444050000,RADAR,6.046,0.748,5.154,0.410,6.001,0.525,5.268,-0.400,0.352,0.170,1.142,0.944,2.909
1477010444150000,RADAR,6.561,0.793,5.142,0.488,6.519,0.639,5.243,0.078,0.343,0.173,1.094,0.924,2.135
1477010444250000,RADAR,7.075,0.846,5.127,0.573,7.040,0.623,5.193,-0.020,0.335,0.176,1.051,0.900,3.616
1477010444350000,RADAR,7.587,0.907,5.109,0.665,7.626,0.697,5.243,0.213,0.327,0.180,1.013,0.879,3.867
1477010444450000,RADAR,8.097,0.979,5.089,0.762,8.147,0.775,5.194,0.385,0.319,0.184,0.980,0.857,3.223
1477010444550000,RADAR,8.605,1.060,5.065,0.865,8.653,1.043,5.125,1.009,0.311,0.183,0.949,0.834,5.407
1477010444650000,RADAR,9.110,1.152,5.038,0.974,9.237,1.127,5.155,1.065,0.304,0.178,0.921,0.809,5.125
1477010444750000,RADAR,9.613,1.255,5.007,1.089,9.781,1.314,5.118,1.328,0.298,0.173,0.895,0.787,1.981
1477010444850000,RADAR,10.112,1.370,4.971,1.208,10.283,1.549,5.004,1.655,0.292,0.171,0.872,0.770,2.939
1477010444950000,RADAR,10.607,1.497,4.930,1.333,10.759,1.757,4.886,1.883,0.285,0.173,0.850,0.758,3.878
1477010445050000,RADAR,11.098,1.637,4.884,1.462,11.286,1.807,4.929,1.773,0.280,0.173,0.829,0.745,2.098
1477010445150000,RADAR,11.584,1.790,4.833,1.596,11.748,1.903,4.891,1.769,0.275,0.171,0.810,0.730,2.993
1477010445250000,RADAR,12.065,1.956,4.776,1.733,12.233,2.093,4.854,1.892,0.271,0.168,0.793,0.714,0.514
1477010445350000,RADAR,12.539,2.137,4.713,1.873,12.730,2.164,4.878,1.814,0.267,0.165,0.776,0.699,2.376
1477010445450000,RADAR,13.007,2.331,4.643,2.017,13.224,2.400,4.845,1.973,0.263,0.162,0.762,0.686,1.845
1477010445550000,RADAR,13.468,2.540,4.566,2.163,13.563,2.789,4.609,2.366,0.258,0.163,0.748,0.673,12.670
1477010445650000,RADAR,13.921,2.764,4.481,2.311,14.002,2.991,4.542,2.446,0.254,0.164,0.734,0.661,1.131
1477010445750000,RADAR,14.365,3.003,4.390,2.461,14.493,3.144,4.562,2.423,0.251,0.163,0.721,0.649,1.474
1477010445850000,RADAR,14.799,3.257,4.290,2.612,14.917,3.491,4.458,2.643,0.247,0.163,0.710,0.638,2.207
1477010445950000,RADAR,15.223,3.526,4.183,2.762,15.332,3.845,4.319,2.867,0.244,0.166,0.698,0.627,1.179
1477010446050000,RADAR,15.636,3.810,4.067,2.913,15.774,4.023,4.294,2.861,0.241,0.167,0.688,0.617,2.224
1477010446150000,RADAR,16.036,4.109,3.943,3.063,16.184,4.327,4.173,3.012,0.238,0.167,0.679,0.608,2.064
1477010446250000,RADAR,16.424,4.422,3.810,3.211,16.613,4.607,4.108,3.098,0.236,0.166,0.671,0.599,0.274
1477010446350000,RADAR,16.798,4.751,3.668,3.357,16.940,5.024,3.851,3.378,0.233,0.167,0.662,0.590,6.931
1477010446450000,RADAR,17.158,5.094,3.518,3.500,17.310,5.303,3.727,3.471,0.230,0.167,0.654,0.582,3.235
1477010446550000,RADAR,17.502,5.451,3.359,3.639,17.656,5.582,3.579,3.570,0.228,0.165,0.646,0.574,5.245
1477010446650000,RADAR,17.830,5.822,3.192,3.775,17.944,6.020,3.313,3.807,0.225,0.165,0.639,0.566,3.097
1477010446750000,RADAR,18.140,6.206,3.015,3.905,18.225,6.480,3.080,4.005,0.222,0.165,0.631,0.559,0.754
1477010446850000,RADAR,18.433,6.603,2.831,4.029,18.479,6.937,2.824,4.188,0.220,0.168,0.623,0.552,0.843
1477010446950000,RADAR,18.706,7.012,2.638,4.147,18.769,7.338,2.684,4.277,0.217,0.170,0.615,0.546,0.091
1477010447050000,RADAR,18.960,7.433,2.438,4.257,18.933,7.797,2.348,4.447,0.215,0.173,0.608,0.539,5.231
1477010447150000,RADAR,19.194,7.864,2.229,4.360,19.184,8.185,2.195,4.508,0.213,0.176,0.601,0.533,0.856
1477010447250000,RADAR,19.406,8.305,2.014,4.454,19.368,8.606,1.996,4.580,0.211,0.177,0.594,0.527,3.144
1477010447350000,RADAR,19.597,8.755,1.792,4.540,19.556,9.017,1.774,4.651,0.209,0.177,0.587,0.522,1.777
1477010447450000,RADAR,19.765,9.213,1.563,4.615,19.685,9.505,1.491,4.749,0.207,0.178,0.581,0.516,0.557
1477010447550000,RADAR,19.909,9.678,1.329,4.680,19.766,9.993,1.163,4.833,0.206,0.179,0.574,0.511,1.681
1477010447650000,RADAR,20.030,10.149,1.090,4.734,19.829,10.565,0.928,4.906,0.206,0.183,0.569,0.506,4.100
1477010447750000,RADAR,20.127,10.625,0.846,4.777,19.861,11.056,0.612,4.949,0.207,0.187,0.563,0.501,1.476
1477010447850000,RADAR,20.199,11.104,0.598,4.807,19.885,11.612,0.380,4.989,0.210,0.193,0.558,0.496,2.060
1477010447950000,RADAR,20.247,11.586,0.347,4.826,19.773,12.156,-0.093,5.008,0.216,0.201,0.554,0.492,6.119
1477010448050000,RADAR,20.269,12.069,0.093,4.832,19.833,12.589,-0.171,4.981,0.223,0.208,0.550,0.488,4.578
1477010448150000,RADAR,20.265,12.552,-0.162,4.825,19.780,13.048,-0.503,4.948,0.230,0.214,0.546,0.483,2.529
1477010448250000,RADAR,20.236,13.034,-0.417,4.804,19.833,13.440,-0.659,4.900,0.236,0.217,0.542,0.479,6.232
1477010448350000,RADAR,20.182,13.513,-0.673,4.771,19.768,13.901,-0.883,4.854,0.240,0.218,0.537,0.475,0.564
1477010448450000,RADAR,20.102,13.988,-0.928,4.724,19.712,14.321,-1.123,4.785,0.243,0.219,0.533,0.471,2.380
1477010448550000,RADAR,19.996,14.457,-1.181,4.663,19.588,14.770,-1.371,4.711,0.246,0.219,0.528,0.466,0.519
1477010448650000,RADAR,19.865,14.920,-1.432,4.589,19.502,15.157,-1.551,4.622,0.249,0.219,0.524,0.462,3.770
1477010448750000,RADAR,19.710,15.375,-1.679,4.502,19.323,15.575,-1.945,4.469,0.250,0.218,0.520,0.459,11.143
1477010448850000,RADAR,19.530,15.820,-1.922,4.402,19.185,15.954,-2.146,4.349,0.252,0.216,0.516,0.455,2.576
1477010448950000,RADAR,19.326,16.255,-2.159,4.289,18.990,16.364,-2.329,4.240,0.253,0.215,0.512,0.451,1.005
1477010449050000,RADAR,19.098,16.678,-2.391,4.163,18.793,16.746,-2.545,4.097,0.253,0.213,0.508,0.447,1.469
1477010449150000,RADAR,18.848,17.087,-2.616,4.025,18.521,17.160,-2.867,3.898,0.253,0.212,0.504,0.444,8.979
1477010449250000,RADAR,18.575,17.482,-2.833,3.875,18.316,17.534,-2.942,3.813,0.253,0.211,0.501,0.440,5.341
1477010449350000,RADAR,18.281,17.862,-3.042,3.714,18.047,17.893,-3.084,3.681,0.252,0.209,0.497,0.437,1.521
1477010449450000,RADAR,17.967,18.225,-3.242,3.542,17.748,18.190,-3.309,3.455,0.251,0.208,0.493,0.434,2.495
1477010449550000,RADAR,17.633,18.570,-3.432,3.360,17.539,18.517,-3.403,3.328,0.249,0.208,0.489,0.430,8.156
1477010449650000,RADAR,17.281,18.896,-3.613,3.168,17.220,18.784,-3.582,3.104,0.247,0.207,0.486,0.427,1.883
1477010449750000,RADAR,16.911,19.203,-3.782,2.968,16.883,19.136,-3.714,2.960,0.246,0.207,0.482,0.424,3.254
1477010449850000,RADAR,16.525,19.489,-3.940,2.759,16.487,19.470,-3.885,2.765,0.244,0.206,0.479,0.421,2.791
1477010449950000,RADAR,16.124,19.755,-4.087,2.544,16.082,19.615,-4.064,2.437,0.243,0.205,0.476,0.418,10.797
1477010450050000,RADAR,15.708,19.998,-4.222,2.321,15.725,19.830,-4.133,2.269,0.242,0.206,0.472,0.415,3.187
1477010450150000,RADAR,15.280,20.219,-4.344,2.093,15.265,20.149,-4.250,2.121,0.241,0.206,0.469,0.412,6.499
1477010450250000,RADAR,14.840,20.416,-4.454,1.861,14.822,20.318,-4.362,1.866,0.240,0.205,0.466,0.410,1.418
1477010450350000,RADAR,14.390,20.590,-4.551,1.624,14.345,20.524,-4.475,1.631,0.239,0.204,0.463,0.407,1.095
1477010450450000,RADAR,13.930,20.741,-4.636,1.384,13.887,20.681,-4.564,1.378,0.238,0.203,0.460,0.404,0.314
1477010450550000,RADAR,13.463,20.867,-4.708,1.142,13.441,20.749,-4.645,1.033,0.236,0.202,0.457,0.402,2.318
1477010450650000,RADAR,12.990,20.969,-4.767,0.898,12.999,20.869,-4.690,0.801,0.236,0.202,0.455,0.399,1.834
1477010450750000,RADAR,12.511,21.047,-4.814,0.653,12.460,20.987,-4.760,0.540,0.235,0.201,0.452,0.397,2.935
1477010450850000,RADAR,12.028,21.100,-4.848,0.409,12.011,21.030,-4.777,0.269,0.234,0.200,0.449,0.395,1.059
1477010450950000,RADAR,11.542,21.128,-4.870,0.165,11.529,21.003,-4.780,-0.052,0.233,0.199,0.446,0.393,1.196
1477010451050000,RADAR,11.054,21.133,-4.880,-0.077,11.013,20.934,-4.772,-0.394,0.232,0.198,0.444,0.391,3.856
1477010451150000,RADAR,10.567,21.113,-4.878,-0.316,10.453,20.951,-4.783,-0.585,0.232,0.198,0.441,0.389,4.943
1477010451250000,RADAR,10.080,21.070,-4.866,-0.552,9.976,20.927,-4.756,-0.796,0.231,0.198,0.439,0.388,1.517
1477010451350000,RADAR,9.594,21.003,-4.843,-0.785,9.492,20.902,-4.733,-0.920,0.230,0.197,0.436,0.386,3.170
1477010451450000,RADAR,9.112,20.913,-4.809,-1.014,9.063,20.825,-4.674,-1.117,0.229,0.196,0.434,0.383,2.171
1477010451550000,RADAR,8.633,20.800,-4.766,-1.237,8.700,20.644,-4.560,-1.372,0.228,0.195,0.432,0.381,4.271
1477010451650000,RADAR,8.159,20.666,-4.714,-1.455,8.252,20.492,-4.480,-1.612,0.228,0.195,0.430,0.379,0.029
1477010451750000,RADAR,7.691,20.510,-4.653,-1.668,7.844,20.336,-4.378,-1.850,0.228,0.194,0.428,0.377,3.261
1477010451850000,RADAR,7.229,20.333,-4.584,-1.874,7.385,20.145,-4.290,-2.066,0.229,0.194,0.427,0.376,0.457
1477010451950000,RADAR,6.775,20.135,-4.509,-2.074,6.949,19.963,-4.204,-2.236,0.230,0.193,0.425,0.374,0.628
1477010452050000,RADAR,6.328,19.918,-4.426,-2.266,6.533,19.785,-4.115,-2.388,0.231,0.192,0.424,0.372,2.587
1477010452150000,RADAR,5.890,19.682,-4.337,-2.452,6.062,19.522,-3.999,-2.640,0.232,0.192,0.423,0.370,2.704
