time,sensortype,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy,nis
1477010448500000,LASER,20.052,14.223,-1.055,4.695,20.122,14.337,0.000,0.000,0.069,0.114,1.055,4.695,0.000
1477010448600000,LASER,19.934,14.690,-1.307,4.628,19.788,14.763,-0.033,-0.000,0.118,0.105,1.173,4.662,0.298
1477010448700000,LASER,19.791,15.149,-1.556,4.548,19.925,14.982,0.400,-0.005,0.115,0.131,1.408,4.626,5.392
1477010448800000,LASER,19.623,15.599,-1.801,4.454,19.928,15.173,0.295,0.065,0.171,0.245,1.631,4.576,9.731
1477010448900000,LASER,19.431,16.039,-2.041,4.347,19.710,15.386,-0.331,-0.335,0.222,0.375,1.715,4.562,28.020
1477010449000000,LASER,19.215,16.468,-2.276,4.227,19.588,15.528,-0.448,-0.411,0.257,0.514,1.736,4.575,37.025
1477010449100000,LASER,18.976,16.884,-2.504,4.095,19.510,15.771,-0.345,0.122,0.311,0.648,1.789,4.531,76.124
1477010449200000,LASER,18.714,17.287,-2.725,3.951,19.236,16.068,0.394,0.647,0.362,0.761,1.940,4.420,118.103
1477010449300000,LASER,18.431,17.674,-2.939,3.796,19.051,16.312,0.177,1.640,0.405,0.859,2.123,4.257,128.653
1477010449400000,LASER,18.127,18.045,-3.143,3.629,18.828,17.179,-2.495,0.419,0.451,0.909,2.145,4.121,86.613
1477010449500000,LASER,17.803,18.399,-3.338,3.452,18.193,17.698,0.853,2.856,0.476,0.907,2.241,3.981,33.840
1477010449600000,LASER,17.459,18.735,-3.524,3.265,17.766,18.329,-2.812,-1.726,0.474,0.890,2.325,3.945,28.922
1477010449700000,LASER,17.098,19.052,-3.699,3.069,17.452,18.552,1.658,3.137,0.470,0.867,2.480,3.909,15.069
1477010449800000,LASER,16.720,19.349,-3.863,2.865,16.885,18.936,-2.142,-3.144,0.465,0.847,2.627,3.935,15.225
